,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id,reaction_name,formula,associated_genes,subsystem,EC_number,confidence
5ADTSTSTERONESULT_pos,839.0,0.02990516464565861,0.34945563622213044,0.12268063462610108,5ADTSTSTERONESULT,5alpha-Dihydrotestosterone sulfotransferase,"1.00 * (2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate [c] + 1.00 * 17beta-hydroxy-5alpha-androstan-3-one [c] --> 1.00 * proton [c] + 1.00 * adenosine 3',5'-bismonophosphate(4-) [c] + 1.00 * 5alpha-Dihydrotestosterone sulfate [c]
SULT1A1; SULT2A1",SULT1A1; SULT2A1,Steroid metabolism,2.8.2.2,4.0
5HLTDL_pos,620.0,0.7736279829099896,-0.10053464697737152,0.8216575440137789,5HLTDL,5-Hydroxy-L-tryptophan decarboxy-lyase,"1.00 * proton [c] + 1.00 * 5-hydroxy-L-tryptophan [c] --> 1.00 * carbon dioxide [c] + 1.00 * serotonin(1+) [c]
DDC",DDC,Tryptophan metabolism,4.1.1.28,4.0
A4GALTg_pos,805.0,0.07380278667409777,0.3017931412663424,0.18891803462663087,A4GALTg,Lactosylceramide 4-alpha-galactosyltransferase,"1.00 * galactosyl glucosyl ceramide [g] + 1.00 * UDP-D-galactose(2-) [g] --> 1.00 * proton [g] + 1.00 * trihexosyl ceramide [g] + 1.00 * UDP [g]
A4GALT",A4GALT,Sphingolipid metabolism,2.4.1.228,4.0
AACOAT_pos,817.0,0.05445612188191288,0.31018545233637534,0.1703545986109625,AACOAT,Acetoacetyl-CoA:acetate CoA-transferase,"1.00 * ATP [c] + 1.00 * Coenzyme A [c] + 1.00 * acetoacetate [c] --> 1.00 * Acetoacetyl-CoA [c] + 1.00 * AMP [c] + 1.00 * Diphosphate [c]
AACS",AACS,Propanoate metabolism,6.2.1.16,4.0
AACTOOR_pos,600.0,0.6077926760077248,-0.13782191243735537,0.6869465821014323,AACTOOR,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing),"1.00 * Water [c] + 1.00 * O2 [c] + 1.00 * ammonioacetone [c] --> 1.00 * Hydrogen peroxide [c] + 1.00 * Ammonium [c] + 1.00 * methylglyoxal [c]
AOC3",AOC3,"Glycine, serine, alanine and threonine metabolism",1.4.3.6,4.0
AATAi_neg,797.0,0.0895839697786352,0.32205223621266804,0.21296152873895272,AATAi,"2-aminoadipate transaminase, irreversible","1.00 * L-2-aminoadipate(1-) [c] + 1.00 * 2-Oxoglutarate [c] --> 1.00 * 2-oxoadipate(2-) [c] + 1.00 * L-glutamate(1-) [c]
AADAT",AADAT,Lysine metabolism,2.6.1.39,4.0
AATAi_pos,722.0,0.3944260853675353,0.10522570939075396,0.5054067584072242,AATAi,"2-aminoadipate transaminase, irreversible","1.00 * L-2-aminoadipate(1-) [c] + 1.00 * 2-Oxoglutarate [c] --> 1.00 * 2-oxoadipate(2-) [c] + 1.00 * L-glutamate(1-) [c]
AADAT",AADAT,Lysine metabolism,2.6.1.39,4.0
ABTArm_neg,728.0,0.3579405763949812,0.05900087643234592,0.4755319509536902,ABTArm,"4-aminobutyrate transaminase, reversible (mitochondrial)","1.00 * 2-Oxoglutarate [m] + 1.00 * 4-Aminobutanoate [m] --> 1.00 * L-glutamate(1-) [m] + 1.00 * Succinic semialdehyde [m]
ABAT",ABAT,Glutamate metabolism,2.6.19.4,4.0
ABTArm_pos,712.0,0.4600156931555306,0.09082728824277508,0.5590854667605342,ABTArm,"4-aminobutyrate transaminase, reversible (mitochondrial)","1.00 * 2-Oxoglutarate [m] + 1.00 * 4-Aminobutanoate [m] --> 1.00 * L-glutamate(1-) [m] + 1.00 * Succinic semialdehyde [m]
ABAT",ABAT,Glutamate metabolism,2.6.19.4,4.0
ABUTD_pos,563.0,0.3520728929491419,-0.2419247563927135,0.4745867069766176,ABUTD,Aminobutyraldehyde dehydrogenase,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 4-Aminobutanal [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 4-Aminobutanoate [c]
ALDH9A1",ALDH9A1,beta-Alanine metabolism,1.2.1.19,4.0
ACACT10m_neg,662.0,0.8612088884052975,-0.05894367169316111,0.8943270436562243,ACACT10m,"acetyl-CoA C-acetyltransferase, mitochondrial","1.00 * Coenzyme A [m] + 1.00 * 2-methylacetoacetyl-CoA(4-) [m] --> 1.00 * Acetyl-CoA [m] + 1.00 * Propanoyl-CoA [m]
ACAA2; ACAT1; HADHB",ACAA2; ACAT1; HADHB,"Valine, leucine, and isoleucine metabolism",2.3.1.9,4.0
ACACT10m_pos,937.0,0.0010500715717091363,0.4836951504688411,0.011790752098142964,ACACT10m,"acetyl-CoA C-acetyltransferase, mitochondrial","1.00 * Coenzyme A [m] + 1.00 * 2-methylacetoacetyl-CoA(4-) [m] --> 1.00 * Acetyl-CoA [m] + 1.00 * Propanoyl-CoA [m]
ACAA2; ACAT1; HADHB",ACAA2; ACAT1; HADHB,"Valine, leucine, and isoleucine metabolism",2.3.1.9,4.0
ACACT1r_neg,798.0,0.08747390750763288,0.2715839214625676,0.21086019386292176,ACACT1r,acetyl-CoA C-acetyltransferase,"2.00 * Acetyl-CoA [c] --> 1.00 * Coenzyme A [c] + 1.00 * Acetoacetyl-CoA [c]
ACAT3",ACAT3,Tryptophan metabolism,2.3.1.9,0.0
ACACT1r_pos,755.0,0.2210093690314341,0.08640459296950824,0.3541677848505203,ACACT1r,acetyl-CoA C-acetyltransferase,"2.00 * Acetyl-CoA [c] --> 1.00 * Coenzyme A [c] + 1.00 * Acetoacetyl-CoA [c]
ACAT3",ACAT3,Tryptophan metabolism,2.3.1.9,0.0
ACACT1rm_pos,792.0,0.10075635965475664,0.2274750391245788,0.2283088801469607,ACACT1rm,"acetyl-CoA C-acetyltransferase, mitochondrial","2.00 * Acetyl-CoA [m] --> 1.00 * Coenzyme A [m] + 1.00 * Acetoacetyl-CoA [m]
ACAT1; HADHA; HADHB",ACAT1; HADHA; HADHB,Tryptophan metabolism,2.3.1.9,0.0
ACACT1x_pos,822.0,0.04774971718608755,0.3151275287296512,0.1588012222957161,ACACT1x,"acetyl-CoA C-acetyltransferase, mitochondrial","2.00 * Acetyl-CoA [x] --> 1.00 * Acetoacetyl-CoA [x] + 1.00 * Coenzyme A [x]
ACAT3",ACAT3,Cholesterol metabolism,2.3.1.9,4.0
ACACT4p_pos,758.0,0.20850473286383864,0.12515116058494127,0.34081501482370824,ACACT4p,"acetyl-CoA C-acetyltransferase (octanoyl-CoA), peroxisomal","1.00 * Coenzyme A [x] + 1.00 * 3-Oxodecanoyl-CoA [x] --> 1.00 * Acetyl-CoA [x] + 1.00 * Octanoyl-CoA (n-C8:0CoA) [x]
ACAA1B",ACAA1B,Fatty acid oxidation,2.3.1.16,4.0
ACACT5p_pos,758.0,0.20850473286383864,0.12515116058494127,0.34081501482370824,ACACT5p,"acetyl-CoA C-acyltransferase (decanoyl-CoA), peroxisomal","1.00 * Coenzyme A [x] + 1.00 * 3-Oxododecanoyl-CoA [x] --> 1.00 * Acetyl-CoA [x] + 1.00 * Decanoyl-CoA (n-C10:0CoA) [x]
ACAA1B",ACAA1B,Fatty acid oxidation,2.3.1.16,4.0
ACACT6p_pos,758.0,0.20850473286383864,0.12515116058494127,0.34081501482370824,ACACT6p,"acetyl-CoA C-acetyltransferase (dodecanoyl), peroxisomal","1.00 * Coenzyme A [x] + 1.00 * 3-Oxotetradecanoyl-CoA [x] --> 1.00 * Acetyl-CoA [x] + 1.00 * Dodecanoyl-CoA (n-C12:0CoA) [x]
ACAA1B",ACAA1B,Fatty acid oxidation,2.3.1.16,4.0
ACACT7p_pos,762.0,0.19264082733965937,0.13446338386137976,0.3263955941572917,ACACT7p,"acetyl-CoA acyltransferase (tetradecanoyl-CoA), peroxisomal","1.00 * Coenzyme A [x] + 1.00 * 3-oxopalmitoyl-CoA(4-) [x] --> 1.00 * Acetyl-CoA [x] + 1.00 * Tetradecanoyl-CoA (n-C14:0CoA) [x]
ACAA1B",ACAA1B,Fatty acid oxidation,2.3.1.16,4.0
ACCOACm_pos,683.0,0.6805524219365017,0.07728227447719338,0.7402480155384552,ACCOACm,"Acetyl-Coa carboxylase, beta isoform","1.00 * Acetyl-CoA [m] + 1.00 * ATP [m] + 1.00 * Bicarbonate [m] --> 1.00 * proton [m] + 1.00 * ADP [m] + 1.00 * Malonyl-CoA [m] + 1.00 * hydrogenphosphate [m]
ACACB",ACACB,Fatty acid oxidation,6.4.1.2,4.0
ACCOAL_pos,899.0,0.004397740044049042,0.6988156392900755,0.03670399896278479,ACCOAL,acetate-CoA ligase (ADP-forming),"1.00 * ATP [c] + 1.00 * Coenzyme A [c] + 1.00 * propionate [c] --> 1.00 * ADP [c] + 1.00 * hydrogenphosphate [c] + 1.00 * Propanoyl-CoA [c]
ACSS2",ACSS2,Propanoate metabolism,6.2.1.13,4.0
ACGAM2E_neg,748.0,0.2522544906511406,0.11516977823992582,0.37931042255066816,ACGAM2E,N-acetylglucosamine 2-epimerase,"1.00 * N-acetyl-D-glucosamine [c] --> 1.00 * N-acetyl-D-mannosamine [c]
RENBP",RENBP,Aminosugar metabolism,5.1.3.8,4.0
ACGAM2E_pos,765.0,0.18133833341785754,0.14214348752025838,0.3163497087254936,ACGAM2E,N-acetylglucosamine 2-epimerase,"1.00 * N-acetyl-D-glucosamine [c] --> 1.00 * N-acetyl-D-mannosamine [c]
RENBP",RENBP,Aminosugar metabolism,5.1.3.8,4.0
ACGAMK_pos,749.0,0.24761151356061917,0.12184057337634771,0.37500376387454143,ACGAMK,N-acetylglucosamine kinase,"1.00 * ATP [c] + 1.00 * N-acetyl-D-glucosamine [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * N-acetyl-D-glucosamine 6-phosphate(2-) [c]
NAGK",NAGK,Aminosugar metabolism,2.7.1.59,4.0
ACGAMPM_pos,748.0,0.2522544906511406,0.1151697782399258,0.37931042255066816,ACGAMPM,phosphoacetylglucosamine mutase,"1.00 * N-acetyl-D-glucosamine 6-phosphate(2-) [c] --> 1.00 * N-Acetyl-D-glucosamine 1-phosphate [c]
PGM3",PGM3,Aminosugar metabolism,5.4.2.3,4.0
ACGPID_pos,725.0,0.3759100726357998,0.07074750666157321,0.4879960915127039,ACGPID,N-acetylglucosaminylphosphatidylinositol deacetylase,"1.00 * Water [c] + 1.00 * 6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol(1-) [c] --> 1.00 * acetate [c] + 1.00 * 6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol [c]
PIGL",PIGL,Phosphatidylinositol phosphate metabolism,3.5.1.89,4.0
ACHEe_pos,813.0,0.06037135393230837,0.28128699965261234,0.17542987461116472,ACHEe,Acetylcholinesterase,"1.00 * Water [e] + 1.00 * acetylcholine [e] --> 1.00 * proton [e] + 1.00 * acetate [e] + 1.00 * Choline [e]
ACHE",ACHE,Glycerophospholipid metabolism,3.1.1.7,4.0
ACITL_pos,797.0,0.0895839697786352,0.2261872846048265,0.21296152873895272,ACITL,ATP-Citrate lyase,"1.00 * ATP [c] + 1.00 * Coenzyme A [c] + 1.00 * Citrate [c] --> 1.00 * ADP [c] + 1.00 * hydrogenphosphate [c] + 1.00 * Acetyl-CoA [c] + 1.00 * Oxaloacetate [c]
ACLY",ACLY,Other,2.3.3.8,4.0
ACNAM9PL2_pos,754.0,0.2252947118518287,0.2313661353400792,0.35901022724986603,ACNAM9PL2,N-Acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating),"1.00 * Water [c] + 1.00 * Phosphoenolpyruvate [c] + 1.00 * D-Mannose 6-phosphate [c] --> 1.00 * hydrogenphosphate [c] + 1.00 * 2-keto-3-deoxy-D-glycero-D-galactononic acid 9-phosphate [c]
NANS",NANS,Aminosugar metabolism,2.5.1.56,4.0
ACNAM9PL_pos,797.0,0.0895839697786352,0.2974817076053128,0.21296152873895272,ACNAM9PL,N-Acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating),"1.00 * Water [c] + 1.00 * N-acetyl-D-mannosamine 6-phosphate(2-) [c] + 1.00 * Phosphoenolpyruvate [c] --> 1.00 * hydrogenphosphate [c] + 1.00 * N-Acetylneuraminate 9-phosphate [c]
NANS",NANS,Aminosugar metabolism,2.5.1.56,4.0
ACOAD10m_pos,897.0,0.004719696213309842,0.28797564164376643,0.03904204399237951,ACOAD10m,"acyl-CoA dehydrogenase (2-methylbutanoyl-CoA), mitochondrial","1.00 * 2-methylbutanoyl-CoA(4-) [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] --> 1.00 * 2-methylcrotonoyl-CoA(4-) [m] + 1.00 * Flavin adenine dinucleotide reduced [m]
ACADM; ACADSB",ACADM; ACADSB,"Valine, leucine, and isoleucine metabolism",1.3.99.12,4.0
ACOAD1fm_pos,772.0,0.15689159333010108,0.08713293148625431,0.28954717944428426,ACOAD1fm,"acyl-CoA dehydrogenase (butanoyl-CoA), mitochondrial","1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * Butanoyl-CoA [m] --> 1.00 * crotonoyl-CoA(4-) [m] + 1.00 * Flavin adenine dinucleotide reduced [m]
ACAD11; ACAD12; ACAD8; ACAD9; ACADM; ACADS; ACADSB",ACAD11; ACAD12; ACAD8; ACAD9; ACADM; ACADS; ACADSB,Butanoate metabolism,1.3.99.2,4.0
ACOAD8m_pos,831.0,0.03742415860988977,0.3581756223128202,0.1361730938283016,ACOAD8m,"acyl-CoA dehydrogenase (isovaleryl-CoA), mitochondrial","1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * Isovaleryl-CoA [m] --> 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * 3-methylbut-2-enoyl-CoA(4-) [m]
IVD",IVD,"Valine, leucine, and isoleucine metabolism",1.3.99.10,4.0
ACOAD9m_pos,821.0,0.049032448578516956,0.334067155498919,0.15925797786312543,ACOAD9m,"acyl-CoA dehydrogenase (isobutyryl-CoA), mitochondrial","1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * isobutyryl-CoA(4-) [m] --> 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * 2-Methylprop-2-enoyl-CoA [m]
ACAD8; ACADM",ACAD8; ACADM,"Valine, leucine, and isoleucine metabolism",1.3.99.12,4.0
ACOAHi_pos,834.0,0.03443458112181362,0.27808784113972707,0.12814919568966515,ACOAHi,acetyl-CoA hydrolase,"1.00 * Water [c] + 1.00 * Acetyl-CoA [c] --> 1.00 * proton [c] + 1.00 * Coenzyme A [c] + 1.00 * acetate [c]
ACOT12",ACOT12,Pyruvate metabolism,3.1.2.1,0.0
ACOAO7p_pos,761.0,0.19652106785674572,0.10644551436688932,0.32997563680468484,ACOAO7p,"acyl-CoA oxidase (hexadecanoyl-CoA), peroxisomal","1.00 * Palmitoyl-CoA (n-C16:0CoA) [x] + 1.00 * O2 [x] --> 1.00 * Hydrogen peroxide [x] + 1.00 * trans-Hexadec-2-enoyl-CoA [x]
ACOX1",ACOX1,Fatty acid oxidation,1.3.3.6,4.0
ACONT_neg,643.0,0.9775032153579749,-0.14204719880039451,0.9848879914221965,ACONT,aconitase,"1.00 * Citrate [c] --> 1.00 * Isocitrate [c]
ACO1; IREB2",ACO1; IREB2,Other,4.2.1.3,0.0
ACONT_pos,643.0,0.9775032153579749,-0.14204719880039451,0.9848879914221965,ACONT,aconitase,"1.00 * Citrate [c] --> 1.00 * Isocitrate [c]
ACO1; IREB2",ACO1; IREB2,Other,4.2.1.3,0.0
ACONTm_neg,724.0,0.38202158139916953,0.03864257788716392,0.49406511665220126,ACONTm,Aconitate hydratase,"1.00 * Citrate [m] --> 1.00 * Isocitrate [m]
ACO1; ACO2",ACO1; ACO2,Citric acid cycle,4.2.1.3,0.0
ACONTm_pos,724.0,0.38202158139916953,0.03864257788716392,0.49406511665220126,ACONTm,Aconitate hydratase,"1.00 * Citrate [m] --> 1.00 * Isocitrate [m]
ACO1; ACO2",ACO1; ACO2,Citric acid cycle,4.2.1.3,0.0
ACOX2x_pos,794.0,0.09616095376033945,0.14035658380224902,0.2229201251592119,ACOX2x,"acyl-Coenzyme A oxidase 2, branched chain","1.00 * O2 [x] + 1.00 * Flavin adenine dinucleotide reduced [x] + 1.00 * 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA(S) [x] --> 1.00 * Flavin adenine dinucleotide oxidized [x] + 2.00 * Water [x] + 1.00 * 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA [x]
ACOX2",ACOX2,Bile acid synthesis,1.3.3.6,4.0
ACS2_pos,832.0,0.03640398095157045,0.28603603381093284,0.1332026962589658,ACS2,acetyl-CoA synthase (propionate),"1.00 * ATP [c] + 1.00 * Coenzyme A [c] + 1.00 * propionate [c] --> 1.00 * AMP [c] + 1.00 * Diphosphate [c] + 1.00 * Propanoyl-CoA [c]
AACS; ACSS2",AACS; ACSS2,Propanoate metabolism,6.2.1.16,4.0
ACS_pos,845.0,0.025154455765000826,0.3537286967538856,0.10864796326786542,ACS,acetyl-CoA synthetase,"1.00 * ATP [c] + 1.00 * Coenzyme A [c] + 1.00 * acetate [c] --> 1.00 * AMP [c] + 1.00 * Diphosphate [c] + 1.00 * Acetyl-CoA [c]
AACS; ACSS2",AACS; ACSS2,Glycolysis/gluconeogenesis,6.2.1.1,4.0
ADA_pos,757.0,0.21261466012820074,0.10705572700389304,0.3449445888624111,ADA,Adenosine deaminase,"1.00 * Water [c] + 1.00 * proton [c] + 1.00 * Adenosine [c] --> 1.00 * Ammonium [c] + 1.00 * Inosine [c]
ADA",ADA,Purine catabolism,3.5.4.4,4.0
ADAe_pos,737.0,0.3073426840586344,0.11688178052697691,0.4299902462691449,ADAe,"Adenosine deaminase, extracellular","1.00 * proton [e] + 1.00 * Water [e] + 1.00 * Adenosine [e] --> 1.00 * Inosine [e] + 1.00 * Ammonium [e]
ADA",ADA,Purine catabolism,3.5.4.4,4.0
ADK1m_neg,787.0,0.11301195007410815,0.0241205651481432,0.23978347199165478,ADK1m,"adenylate kinase, mitochondrial","1.00 * ATP [m] + 1.00 * AMP [m] --> 2.00 * ADP [m]
AK2; AK4",AK2; AK4,Nucleotide interconversion,2.7.4.3,4.0
ADK1m_pos,787.0,0.11301195007410815,0.0241205651481432,0.23978347199165478,ADK1m,"adenylate kinase, mitochondrial","1.00 * ATP [m] + 1.00 * AMP [m] --> 2.00 * ADP [m]
AK2; AK4",AK2; AK4,Nucleotide interconversion,2.7.4.3,4.0
ADKd_neg,641.0,0.9595178048513721,-0.2668500347850801,0.9705074840897254,ADKd,adenylate kinase (d form),"1.00 * dAMP(2-) [c] + 1.00 * dATP [c] --> 2.00 * dADP [c]
AK5",AK5,Nucleotide interconversion,2.7.4.3,4.0
ADKd_pos,641.0,0.9595178048513721,-0.2668500347850801,0.9705074840897254,ADKd,adenylate kinase (d form),"1.00 * dAMP(2-) [c] + 1.00 * dATP [c] --> 2.00 * dADP [c]
AK5",AK5,Nucleotide interconversion,2.7.4.3,4.0
ADMDC_pos,745.0,0.26654620814986085,0.1529001681673832,0.3906435232696436,ADMDC,adenosylmethionine decarboxylase,"1.00 * proton [c] + 1.00 * S-Adenosyl-L-methionine [c] --> 1.00 * carbon dioxide [c] + 1.00 * S-Adenosylmethioninamine [c]
AMD1",AMD1,Arginine and Proline Metabolism,4.1.1.50,4.0
